Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
13/01/2020,91,Mercedes,Sprinter,2017,77000,DC,Manuelle,Diesel,143,25788,Benne origine,Oui,Non,NA,NA,6,https://www.leboncoin.fr/utilitaires/1877165243.htm,Non,Non,Non,,
14/01/2020,14,Iveco,Daily,2011,117000,SC,Manuelle,Diesel,146,17900,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1910976595.htm,Non,Non,Oui,,
14/01/2020,68,Iveco,Daily,2016,72500,SC,Manuelle,Diesel,126,26280,Benne origine,Oui,Non,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1846866219.htm,Oui,Oui,Oui,,
14/01/2020,28,Iveco,Daily,2018,33000,SC,Manuelle,Diesel,110,27000,Benne origine,Oui,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1910958193.htm,Non,Non,Non,,
14/01/2020,70,Mercedes,Sprinter,2016,33000,SC,Manuelle,Diesel,143,24990,Benne origine,Non,Non,NA,NA,6,https://www.leboncoin.fr/utilitaires/1908575367.htm,Non,Non,Non,,
14/01/2020,44,Iveco,Daily,2018,59500,SC,Automatique,Diesel,180,29500,Benne origine,Oui,Oui,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1910933898.htm,Oui,Oui,Oui,,
14/01/2020,1,Fuso,Canter,2014,102000,SC,Manuelle,Diesel,130,16800,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1910893505.htm,Non,Oui,Oui,,
14/01/2020,35,Iveco,Daily,2018,36500,SC,Manuelle,Diesel,150,30588,Benne origine,Oui,Non,NA,JPM,6,https://www.leboncoin.fr/utilitaires/1911110349.htm,Non,Non,Non,,
14/01/2020,38,Renault,Master,2017,50900,SC,Manuelle,Diesel,130,22990,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1900439931.htm,Non,Non,Non,,
14/01/2020,22,Renault,Master,2014,184430,SC,Manuelle,Diesel,165,17988,Benne origine,Oui,Oui,NA,NA,3,https://www.leboncoin.fr/utilitaires/1857942242.htm,Non,Non,Non,,
14/01/2020,22,Renault,Master,2015,114970,SC,Manuelle,Diesel,165,22788,Benne origine,Oui,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1902724909.htm,Non,Non,Non,,
14/01/2020,22,Citroen,Jumper,2018,30210,SC,Manuelle,Diesel,130,22188,Benne origine,Non,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1896896867.htm,Non,Non,Non,,
14/01/2020,22,Renault,Master,2015,138374,SC,Manuelle,Diesel,135,20988,Benne origine,Oui,Oui,NA,NA,3,https://www.leboncoin.fr/utilitaires/1896068558.htm,Non,Non,Non,,
14/01/2020,67,Fiat,Ducato,2009,60000,SC,Manuelle,Diesel,120,11990,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1911072692.htm,Oui,Oui,Oui,,
14/01/2020,34,Iveco,Daily,2017,80500,SC,Manuelle,Diesel,136,24990,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1908385559.htm,Non,Non,Non,,
14/01/2020,77,Citroen,Jumper,2013,106658,SC,Manuelle,Diesel,130,16990,Benne origine,Oui,Oui,NA,NA,3,https://www.leboncoin.fr/utilitaires/1911043538.htm,Oui,Oui,Oui,,
14/01/2020,62,Fiat,Ducato,2018,40000,SC,Manuelle,Diesel,130,24000,Benne origine,Oui,Non,NA,JPM,6,https://www.leboncoin.fr/utilitaires/1863105540.htm,Non,Non,Non,Oui,
