Modele,Annee,Km,Puissance réelle (ch),Prix (TTC),Marque Benne
Master,2017,60000,130,24000,NA
Maxity,2011,170000,130,14000,NA
Sprinter,2017,70000,143,32000,NA
Daily,2003,300000,90,6000,NA
Master,2012,140000,150,13000,NA
Daily,2012,190000,126,12000,NA
Daily,2001,180000,105,8000,NA
Master,2005,190000,120,5000,NA
Daily,2012,160000,126,18000,NA
Sprinter,2005,250000,156,9000,NA
Daily,2014,130000,126,19000,NA
Daily,2012,140000,126,18000,NA
Master,2016,110000,130,19000,NA
Daily,2020,0,140,38000,JPM
Cabstar,2005,120000,105,8000,NA
Ducato,2020,0,140,21000,NA
Daily,2011,70000,130,20000,Cabreta
Sprinter,2019,40000,143,36000,NA
Cabstar,2020,0,130,32000,Cabreta
Cabstar,2006,130000,130,12000,NA
Daily,2000,220000,90,6000,NA
Transit,2011,130000,115,11000,Gruau
Daily,2002,270000,110,6000,NA
Boxer,2014,70000,110,13000,NA
Sprinter,2016,60000,136,26000,NA
Cabstar,2017,100000,130,20000,NA
Master,2021,0,145,35000,JPM
Master,2020,0,130,34000,Scattolini
Boxer,2018,30000,130,23000,NA
Daily,2019,20000,140,32000,JPM
Master,2016,30000,125,28000,NA
Master,2021,0,145,35000,NA
Master,2012,220000,150,12000,NA
Sprinter,2016,90000,140,24000,JPM
Master,2003,100000,90,7000,NA
Daily,2011,170000,126,8000,NA
Daily,2008,140000,126,14000,NA
Ducato,2016,60000,130,19000,NA
Ducato,2014,140000,130,15000,NA
Master,2017,40000,130,25000,NA
Daily,2018,30000,136,30000,NA
Master,2017,110000,130,22000,JPM
Master,2017,30000,130,26000,NA
Ducato,2015,70000,130,20000,NA
Sprinter,2008,140000,130,4000,NA
Daily,2012,100000,126,22000,NA
Sprinter,2017,70000,143,23000,NA
Daily,2013,120000,126,17000,NA
Daily,2013,150000,126,20000,NA
Cabstar,2018,60000,130,23000,Cabreta
Canter,2019,40000,130,30000,JPM
Transit,2008,110000,140,17000,NA
Daily,2018,50000,136,30000,NA
Ducato,2021,0,140,29000,NA
Daily,2013,150000,130,20000,NA
Master,2004,190000,120,13000,NA
Daily,2018,30000,140,31000,JPM
Boxer,2015,100000,130,19000,NA
Daily,2007,100000,116,9000,NA
Master,2017,20000,130,26000,NA
Master,2017,40000,130,23000,NA
Daily,2021,0,180,40000,JPM
Ducato,2021,0,140,30000,JPM
Ducato,2016,30000,130,20000,NA
Boxer,2020,0,140,30000,JPM
Daily,2020,0,160,39000,JPM
Master,2008,130000,140,10000,NA
Boxer,2014,70000,110,13000,NA
Master,2018,40000,130,29000,NA
Daily,2021,0,136,46000,NA
Daily,2015,230000,210,21000,NA
Jumper,2013,50000,130,18000,NA
Jumper,2000,200000,89,5000,NA
Sprinter,2012,90000,130,21000,NA
Master,2008,100000,120,8000,NA
Daily,2015,140000,146,23000,JPM
Master,2012,150000,125,12000,NA
Transit,2007,60000,100,9000,NA
Transit,2019,10000,130,32000,NA
Master,2018,10000,130,30000,NA
Transit,2018,40000,170,24000,NA
Master,2015,70000,125,21000,NA
Jumper,2015,240000,180,12000,NA
Transit,2017,40000,130,20000,NA
Ducato,2017,30000,130,23000,NA
Ducato,2017,40000,130,21000,JPM
Master,2003,130000,80,6000,NA
Daily,2003,200000,120,10000,NA
Crafter,2020,0,177,39000,JPM
Daily,2013,200000,150,12000,NA
Daily,2011,180000,210,18000,JPM
Daily,2004,100000,126,9000,NA
Daily,2002,130000,130,8000,NA
Ducato,2020,0,140,28000,NA
Ducato,2017,60000,130,23000,NA
Ducato,2017,50000,130,22000,NA
Boxer,2013,150000,130,13000,NA
Cabstar,2013,120000,100,15000,NA
Ducato,2021,0,140,32000,NA
Cabstar,2012,60000,140,14000,NA
Daily,2009,260000,160,10000,NA
Transit,2013,100000,125,13000,NA
Sprinter,2018,30000,143,16000,NA
Sprinter,2000,260000,143,8000,NA
Daily,2004,160000,126,7000,NA
Sprinter,2002,190000,109,5000,NA
Master,1999,140000,100,3000,NA
Daily,2018,40000,140,29000,JPM
Master,2021,0,145,34000,NA
Master,2017,80000,130,23000,NA
Master,2020,0,145,35000,Gruau
Ducato,2017,40000,130,23000,NA
Master,2020,0,165,35000,Cabreta
Master,2008,110000,130,15000,NA
Ducato,2007,100000,130,9000,NA
Daily,2014,90000,130,21000,JPM
Jumper,2018,20000,130,23000,NA
Master,2002,150000,90,7000,NA
Master,2016,140000,125,21000,NA
Master,2018,30000,130,23000,NA
Daily,2012,150000,130,16000,NA
Daily,2013,120000,126,17000,NA
Daily,2019,30000,140,35000,JPM
Master,2016,110000,165,23000,NA
Transit,2018,40000,170,25000,NA
Daily,2008,170000,170,5000,NA
Crafter,2020,0,177,39000,Gruau
Sprinter,2006,170000,110,9000,NA
Master,2015,100000,135,22000,NA
Transit,2018,30000,170,26000,NA
Daily,2017,30000,140,32000,JPM
Daily,2016,60000,126,29000,JPM
Sprinter,2017,30000,120,30000,NA
Daily,2016,90000,126,28000,JPM
Ducato,2020,0,140,28000,NA
Ducato,2020,0,140,30000,NA
Master,2020,0,165,38000,NA
Daily,2015,50000,110,23000,NA
Daily,2015,50000,110,23000,NA
Jumper,2013,100000,130,17000,NA
Sprinter,2010,140000,130,15000,NA
Boxer,2021,0,165,32000,Cabreta
Crafter,2021,0,177,41000,NA
Daily,1998,220000,110,4000,NA
Master,2021,0,145,35000,JPM
Daily,2021,0,160,40000,Gruau
Transit,2017,40000,130,24000,NA
Daily,2018,20000,140,34000,JPM
Daily,2017,60000,140,29000,NA
Daily,2013,180000,146,16000,NA
Ducato,2017,100000,130,19000,JPM
Sprinter,2014,160000,130,20000,NA
Transit,2015,120000,125,19000,Cabreta
Ducato,2017,40000,130,22000,JPM
Master,2020,0,165,32000,NA
Master,2016,40000,125,24000,NA
Master,2016,60000,130,22000,NA
Crafter,2020,0,177,38000,Gruau
Transit,2018,50000,130,26000,NA
Daily,2018,20000,140,31000,JPM
Daily,2016,90000,106,22000,NA
Sprinter,2001,100000,130,11000,NA
Daily,2004,150000,116,3000,NA
Daily,2009,140000,120,15000,NA
Daily,2007,140000,120,8000,NA
Daily,2014,120000,170,25000,NA
Daily,2018,80000,140,26000,NA
Daily,2018,50000,140,27000,NA
Daily,2008,190000,120,14000,NA
Daily,2008,140000,115,14000,JPM
Canter,2007,120000,150,14000,NA
Daily,2004,200000,130,8000,NA
Daily,2008,80000,150,9000,NA
Transit,2020,0,130,29000,Gruau
Ducato,2021,0,140,30000,JPM
Jumper,2009,90000,120,15000,NA
Sprinter,2008,200000,110,11000,NA
Sprinter,2018,70000,143,31000,NA
Master,2019,0,130,32000,NA
Crafter,2007,170000,130,13000,NA
Daily,1990,130000,100,7000,NA
Master,2020,0,163,35000,NA
Ducato,2018,30000,130,21000,NA
Transit,2017,50000,130,24000,NA
Daily,2008,110000,120,11000,NA
Ducato,2020,0,140,30000,NA
Master,2021,0,145,33000,JPM
Daily,2010,200000,120,15000,NA
Cabstar,2015,50000,122,22000,NA
Ducato,2017,60000,130,24000,JPM
Daily,2018,30000,140,29000,JPM
Daily,2018,30000,140,26000,NA
Daily,2019,20000,140,30000,JPM
Daily,2020,0,160,39000,JPM
Sprinter,2018,70000,160,31000,JPM
Master,2013,230000,125,14000,NA
Canter,2020,0,150,35000,NA
Master,2015,120000,125,18000,NA
Daily,2018,50000,140,27000,JPM
Maxity,2009,150000,130,12000,NA
Jumper,2004,240000,101,4000,NA
Boxer,2009,100000,120,11000,NA
Daily,2018,30000,150,31000,NA
Daily,2014,120000,150,21000,NA
Daily,2018,20000,140,27000,NA
Daily,2014,80000,110,17000,NA
Sprinter,2015,70000,129,25000,NA
Daily,2016,70000,126,27000,JPM
Daily,2003,200000,150,12000,NA
Sprinter,2017,30000,150,31000,JPM
Master,2017,30000,130,24000,NA
Master,2017,50000,130,23000,NA
Daily,2016,80000,130,26000,NA
Daily,2015,290000,170,18000,NA
Ducato,2017,30000,130,20000,NA
Sprinter,2014,100000,150,23000,NA
Transit,2012,170000,100,10000,NA
Daily,2009,160000,116,13000,NA
Canter,2019,30000,150,27000,NA
Sprinter,2017,90000,130,23000,NA
Daily,2018,50000,150,35000,NA
Transit,2008,120000,100,20000,NA
Daily,2014,60000,110,11000,NA
Master,2016,60000,125,23000,NA
Master,2015,210000,136,18000,NA
Cabstar,2010,130000,131,10000,NA
Transit,2018,50000,170,24000,NA
Daily,2016,140000,130,24000,JPM
Jumper,2011,100000,120,13000,NA
Daily,2010,130000,150,17000,JPM
Transit,2015,50000,114,22000,NA
Daily,2012,230000,130,11000,NA
Daily,2001,200000,85,9000,NA
Maxity,2012,80000,140,15000,NA
Daily,2014,90000,110,21000,NA
Sprinter,2015,40000,129,23000,Cabreta
Daily,2008,140000,116,14000,JPM
Cabstar,2001,150000,110,6000,NA
Master,2017,90000,130,23000,Scattolini
Cabstar,2011,150000,110,9000,NA
Sprinter,2020,0,143,38000,NA
Ducato,2020,0,140,27000,NA
Sprinter,2010,160000,129,10000,NA
Ducato,2017,30000,130,23000,NA
Transit,2020,0,130,36000,NA
Ducato,2021,0,160,31000,NA
Ducato,2021,0,160,30000,JPM
Transit,2017,70000,170,22000,NA
Canter,2008,110000,130,13000,NA
Daily,2007,180000,150,14000,NA
Daily,2005,200000,116,4000,NA
Transit,2013,100000,155,15000,NA
Daily,2007,230000,150,10000,NA
Maxity,2008,120000,110,12000,NA
Sprinter,2000,260000,143,8000,NA
Transit,2007,60000,115,17000,Legras
Transit,2016,80000,155,17000,NA
Maxity,2012,180000,140,14000,NA
Daily,2017,120000,150,27000,NA
Jumper,2004,240000,101,4000,NA
Master,2015,120000,125,18000,NA
Daily,2017,40000,136,29000,JPM
Daily,2009,200000,120,12000,NA
Sprinter,2017,60000,160,28000,NA
Ducato,2017,70000,150,21000,NA
Master,2016,80000,125,23000,NA
Ducato,2015,80000,130,20000,NA
Daily,2012,80000,170,19000,NA
Daily,2008,180000,120,11000,NA
Daily,2017,70000,140,28000,NA
Ducato,2017,90000,140,22000,NA
Boxer,2016,110000,130,17000,NA
Sprinter,2021,0,143,36000,NA
Sprinter,2008,230000,120,8000,NA
Daily,2020,0,160,35000,NA
Sprinter,2017,40000,143,35000,NA
Sprinter,2006,200000,130,6000,NA
Master,2017,40000,130,26000,Gruau
Daily,2010,80000,130,17000,NA
Maxity,2009,250000,130,8000,NA
Cabstar,2005,110000,100,7000,NA
Master,2017,50000,130,26000,NA
Daily,2015,60000,150,23000,NA
Ducato,2017,50000,150,21000,NA
Daily,2001,200000,110,7000,NA
Master,2020,0,163,35000,NA
Cabstar,2002,300000,130,5000,NA
Ducato,2020,0,140,32000,NA
Daily,2016,90000,130,24000,NA
Daily,2009,240000,150,10000,NA
Transit,2018,50000,170,20000,NA
Transit,2018,80000,130,21000,NA
Ducato,2003,160000,130,4000,NA
Master,2018,30000,130,30000,NA
Master,2014,160000,125,9000,NA
Transit,2018,30000,170,27000,NA
Transit,2018,30000,170,26000,NA
Daily,2017,30000,140,31000,JPM
Boxer,2010,100000,130,12000,NA
Daily,2011,140000,130,20000,JPM
Jumper,2015,30000,110,23000,NA
Daily,2005,220000,130,12000,NA
Daily,2016,60000,130,29000,JPM
Daily,2018,30000,120,30000,Cabreta
Daily,2007,160000,120,13000,NA
Master,2009,80000,130,9000,NA
Crafter,2012,180000,110,12000,NA
Daily,2018,60000,140,31000,JPM
Jumper,2005,70000,110,12000,NA
Daily,2009,130000,150,10000,NA
Transit,2017,60000,130,24000,NA
Daily,2016,70000,116,20000,NA
Sprinter,2000,240000,109,7000,NA
Master,2010,110000,100,12000,NA
Maxity,2013,120000,120,19000,NA
Maxity,2014,10000,130,22000,NA
Cabstar,2008,170000,130,12000,NA
Daily,2018,30000,140,28000,NA
Daily,2014,120000,150,15000,NA
Daily,2005,220000,120,6000,NA
Jumper,2014,60000,120,22000,NA
Sprinter,2008,210000,180,9000,NA
Master,2018,20000,130,27000,NA
Master,2018,50000,130,26000,NA
Daily,2013,100000,110,20000,NA
Daily,2010,170000,130,18000,NA
Daily,2013,130000,110,22000,NA
Daily,2008,170000,120,19000,NA
Daily,2011,150000,130,16000,NA
Daily,2012,100000,130,22000,NA
Daily,2013,120000,130,17000,NA
Boxer,2016,50000,130,22000,NA
Daily,2013,190000,130,14000,JPM
Master,2018,10000,130,29000,NA
Master,2016,130000,135,19000,NA
Master,2015,100000,165,24000,NA
Master,2006,140000,130,8000,NA
Master,2000,230000,130,6000,NA
Daily,2008,180000,100,14000,NA
Jumper,2007,120000,120,12000,NA
Daily,2003,220000,120,8000,NA
Daily,2017,30000,140,29000,JPM
Maxity,2015,110000,140,15000,NA
Daily,2007,190000,150,15000,NA
Master,2015,100000,135,17000,NA
Boxer,2019,40000,130,27000,NA
Transit,2012,100000,155,20000,NA
Sprinter,2011,130000,130,19000,NA
Daily,2001,210000,85,6000,NA
Daily,2013,190000,130,13000,JPM
Master,2012,190000,125,15000,NA
Master,2017,100000,130,20000,NA
Transit,2008,210000,130,8000,NA
Cabstar,2008,150000,130,9000,NA
Transit,2007,70000,115,9000,NA
Transit,1998,180000,130,6000,NA
Master,2016,130000,135,19000,NA
Daily,2015,60000,110,22000,NA
Jumper,2017,10000,130,22000,NA
Transit,2010,110000,115,16000,NA
Transit,2018,40000,170,25000,NA
Maxity,2014,60000,130,22000,NA
Sprinter,2018,70000,140,25000,NA
Daily,2018,40000,140,27000,NA
Daily,2012,90000,150,21000,NA
Master,2011,200000,150,12000,NA
Boxer,2011,60000,100,10000,NA
Ducato,2017,70000,130,20000,JPM
Daily,2012,170000,130,13000,NA
Daily,2020,0,160,39000,JPM
Daily,2015,80000,150,26000,NA
Daily,2014,180000,130,18000,NA
Jumper,2013,150000,130,9000,NA
Canter,2007,170000,110,8000,NA
Transit,2012,130000,100,14000,NA
Boxer,2020,10000,130,22000,NA
Daily,2006,250000,120,9000,NA
Ducato,2016,100000,130,7000,NA
Jumper,2012,90000,130,7000,NA
Daily,2008,190000,146,10000,NA
Master,2006,150000,120,8000,NA
Master,2014,100000,165,21000,NA
Cabstar,2007,200000,110,12000,NA
Daily,2007,90000,120,13000,NA
Jumper,2014,60000,120,19000,NA
Daily,2015,100000,130,22000,NA
Master,2015,40000,125,21000,NA
Cabstar,2005,180000,130,7000,NA
Master,2004,10000,100,9000,NA
Daily,2009,120000,150,12000,NA
Master,2012,150000,145,15000,NA
Daily,2009,180000,150,11000,NA
Daily,2018,50000,140,31000,JPM
Ducato,2021,0,160,31000,JPM
Daily,2007,270000,150,9000,NA
Daily,2018,40000,136,31000,NA
Daily,2005,110000,120,11000,NA
Sprinter,2021,0,190,46000,NA
Master,2018,20000,130,24000,NA
Daily,2005,270000,120,7000,NA
Transit,2016,100000,125,20000,NA
Sprinter,2000,90000,100,10000,NA
Daily,2011,170000,146,15000,NA
Transit,2016,90000,92,21000,NA
Daily,2004,240000,120,7000,NA
